ID_DATA,DEVICE_SERIAL_NBR,DEVICE_DEPLOYED,LOCATION_NAME,ID_LOCATION,LATITIUDE,LONGTITUDE,MEASURED_VALUE_TYPE,MEASURED VALUE,VALUE UNIT,MEASUREMENT_DATE,DEVICE_BATTERY PERCENTAGE LEFT,LOCATION_DESCRIPTION
62068921,51096095,pipe,LOCATION 129,627623,52.327959332660164,16.912498096422272,water usage,10,m3,2016-06-04 07:22:12.000,100,Private house
86547,6563536,tank,Location 42,45223,53.251423652001426,17.021555632521452,gas usage,57,m3,2016-06-06 15:43:30.000,84,Gas station
3456564,3562244,tank,Location 6,5421,54.112352632145214,16.556214252362214,gas left in tank in percent,68,%,2016-04-06 20:41:20.000,95,Gas Station
23465674,767535536,manhole,Location 129,3523,52.327959332660164,16.912498096422272,water level ,5,m,2016-08-06 14:13:09.000,45,Private house
4943,27667,Location 59,pipe,136.539999999999990,149.259999999999990,air pressure,172,hPa,2016-08-20 05:56:03.000,15,Mine
29392,3288,Location 155,manhole,254.940000000000000,285.110000000000010,water level,289,m,2013-07-19 06:11:12.000,41,Private house
12593,24768,Location 12,tank,199.060000000000000,190.660000000000000,gas left in tank in percent,24,%,2015-05-19 16:47:17.000,7,Gas station
805,21183,Location 174,pipe,142.300000000000010,81.689999999999998,water usage,132,m3,2015-04-04 19:19:44.000,32,Private house
9871,22250,Location 150,home,294.470000000000030,56.109999999999999,humidity level,33,g/m3,2013-01-09 23:15:25.000,34,Private house
1123,20561,Location 207,pipe,317.829999999999980,308.620000000000000,air pressure,138,hPa,2016-09-22 21:49:38.000,70,Mine
11589,14848,Location 15,home,95.500000000000000,133.479999999999990,humidity level,34,g/m3,2004-06-11 02:09:51.000,59,Private house
25767,8639,Location 47,pipe,283.380000000000000,33.859999999999999,air pressure,227,hPa,2005-05-22 00:03:37.000,59,Mine
17304,4520,Location 192,pipe,81.129999999999995,228.699999999999990,water usage,169,m3,2003-08-04 10:41:28.000,49,Private house
1932,442,Location 110,pipe,147.130000000000000,97.040000000000006,methane level,227,m3,2002-04-12 22:41:53.000,89,Mine
12980,25827,Location 4,manhole,127.569999999999990,294.889999999999990,water level,254,m,2004-09-20 02:02:50.000,26,Private house
2764,27967,Location 147,tank,251.630000000000000,325.250000000000000,gas usage,244,m3,2003-10-20 11:43:17.000,1,Gas station
4196,18813,Location 139,tank,27.579999999999998,81.700000000000003,gas left in tank in percent,98,%,2003-06-19 11:54:25.000,27,Gas station
3092,29093,Location 85,manhole,1.340000000000000,292.529999999999970,water level,117,m,2012-01-01 15:14:59.000,86,Private house
6162,11192,Location 287,manhole,289.459999999999980,111.489999999999990,water level,240,m,2001-03-10 13:09:25.000,22,Private house
27687,20708,Location 48,pipe,220.990000000000010,213.090000000000000,water usage,55,m3,2010-03-05 05:55:11.000,33,Private house
30462,6713,Location 78,tank,92.569999999999993,326.440000000000000,gas left in tank in percent,14,%,2005-05-23 03:03:45.000,49,Gas station
19254,26664,Location 71,pipe,105.250000000000000,32.960000000000001,methane level,64,m3,2003-09-16 10:32:12.000,98,Mine
26562,8755,Location 70,pipe,253.319999999999990,123.930000000000010,air pressure,223,hPa,2013-09-10 07:56:28.000,77,Mine
14975,1174,Location 32,home,300.339999999999970,191.419999999999990,humidity level,14,g/m3,2012-10-02 01:37:36.000,25,Private house
14598,2002,Location 265,manhole,214.280000000000000,56.409999999999997,water level,31,m,2003-09-23 23:59:32.000,100,Private house
24357,4701,Location 275,home,228.780000000000000,150.650000000000010,humidity level,222,g/m3,2005-01-04 06:01:30.000,36,Private house
7040,26346,Location 221,tank,187.169999999999990,65.840000000000003,gas usage,275,m3,2003-10-13 14:54:52.000,51,Gas station
591,20993,Location 272,pipe,214.780000000000000,131.289999999999990,methane level,85,m3,2018-04-15 00:50:33.000,84,Mine
21296,2017,Location 78,tank,83.719999999999999,99.480000000000004,gas left in tank in percent,74,%,2002-07-12 15:00:14.000,18,Gas station
19076,32740,Location 235,pipe,126.090000000000000,186.110000000000010,water usage,43,m3,2013-03-13 19:50:20.000,46,Private house
10202,29914,Location 204,tank,139.250000000000000,270.610000000000010,gas left in tank in percent,4,%,2014-11-26 14:40:40.000,78,Gas station
6726,6678,Location 263,pipe,174.680000000000010,83.329999999999998,water usage,230,m3,2001-01-07 05:00:00.000,27,Private house
12483,6947,Location 43,pipe,106.010000000000010,185.389999999999990,air pressure,227,hPa,2000-09-01 08:53:29.000,29,Mine
20461,12382,Location 82,pipe,179.349999999999990,30.289999999999999,air pressure,81,hPa,2002-07-27 08:10:42.000,91,Mine
22448,1249,Location 246,manhole,282.470000000000030,169.860000000000010,water level,267,m,2005-01-14 05:54:43.000,43,Private house
25287,27273,Location 165,pipe,311.300000000000010,138.190000000000000,water usage,37,m3,2006-06-11 00:40:29.000,54,Private house
12060,30458,Location 285,tank,272.720000000000030,86.090000000000003,gas usage,5,m3,2009-05-15 20:55:04.000,88,Gas station
6509,12530,Location 295,home,281.329999999999980,297.069999999999990,humidity level,107,g/m3,2014-02-21 15:36:53.000,40,Private house
30650,32580,Location 86,home,52.969999999999999,109.849999999999990,humidity level,226,g/m3,2001-09-20 15:52:07.000,16,Private house
21864,9042,Location 2,tank,317.029999999999970,0.310000000000000,gas usage,59,m3,2008-01-04 22:39:08.000,71,Gas station
28971,16108,Location 141,home,222.030000000000000,141.949999999999990,humidity level,36,g/m3,2015-09-18 23:58:56.000,19,Private house
12293,18890,Location 131,tank,233.500000000000000,115.250000000000000,gas left in tank in percent,8,%,2009-03-13 13:55:45.000,45,Gas station
20992,32040,Location 270,pipe,114.940000000000000,259.569999999999990,water usage,227,m3,2012-07-02 17:04:42.000,50,Private house
25717,11310,Location 47,pipe,273.600000000000020,241.080000000000010,air pressure,268,hPa,2018-04-12 21:19:12.000,55,Mine
754,20001,Location 103,pipe,159.020000000000010,190.289999999999990,water usage,158,m3,2017-02-23 10:56:07.000,69,Private house
17192,15252,Location 29,manhole,21.199999999999999,204.360000000000010,water level,99,m,2016-03-16 20:36:21.000,16,Private house
